,Date,Heure,Comp,Tour,Jour,Tribune,Résultat,BM,BE,Adversaire,xG,xGA,Poss,Affluence,Capitaine,Formation,Arbitre,Rapport de match,Notes,Dist,CF,PénM,PénT,Buts,Tirs,TC,TC%,B/Tir,B/TC,Saison,Equipe
1,2021-08-07,21:00,Ligue 1,Journée 1,Sam,Extérieur,V,2,1,Troyes,1.2,0.8,56.0,15248.0,Presnel Kimpembe,4-4-2,Amaury Delerue,Rapport de match,,15.9,0.0,0.0,0.0,2.0,12.0,2.0,16.7,0.17,1.0,2022,ParisSaintGermain
2,2021-08-14,21:00,Ligue 1,Journée 2,Sam,Domicile,V,4,2,Strasbourg,2.5,0.6,64.0,46962.0,Presnel Kimpembe,4-3-3,Willy Delajod,Rapport de match,,15.5,1.0,0.0,0.0,3.0,11.0,5.0,45.5,0.27,0.6,2022,ParisSaintGermain
3,2021-08-20,21:00,Ligue 1,Journée 3,Ven,Extérieur,V,4,2,Brest,1.4,1.2,74.0,14586.0,Presnel Kimpembe,4-4-2◆,Eric Wattellier,Rapport de match,,20.2,0.0,0.0,0.0,4.0,16.0,8.0,50.0,0.25,0.5,2022,ParisSaintGermain
4,2021-08-29,20:45,Ligue 1,Journée 4,Dim,Extérieur,V,2,0,Reims,1.2,0.6,68.0,20525.0,Marquinhos,4-3-3,François Letexier,Rapport de match,,16.1,1.0,0.0,0.0,2.0,12.0,3.0,25.0,0.17,0.67,2022,ParisSaintGermain
5,2021-09-11,17:00,Ligue 1,Journée 5,Sam,Domicile,V,4,0,Clermont Foot,2.8,1.2,51.0,47329.0,Marquinhos,4-3-3,Mikael Lesage,Rapport de match,,13.9,0.0,0.0,0.0,4.0,13.0,7.0,53.8,0.31,0.57,2022,ParisSaintGermain
7,2021-09-19,20:45,Ligue 1,Journée 6,Dim,Domicile,V,2,1,Lyon,2.0,0.6,53.0,47611.0,Marquinhos,4-2-3-1,Clément Turpin,Rapport de match,,18.6,2.0,1.0,1.0,2.0,14.0,4.0,28.6,0.07,0.25,2022,ParisSaintGermain
8,2021-09-22,21:00,Ligue 1,Journée 7,Mer,Extérieur,V,2,1,Metz,1.2,0.6,73.0,2661.0,Marquinhos,4-4-2◆,Jérémie Pignard,Rapport de match,,19.9,0.0,0.0,0.0,2.0,15.0,4.0,26.7,0.13,0.5,2022,ParisSaintGermain
9,2021-09-25,21:00,Ligue 1,Journée 8,Sam,Domicile,V,2,0,Montpellier,2.2,0.2,53.0,47408.0,Marquinhos,4-3-3,Antony Gautier,Rapport de match,,14.9,0.0,0.0,0.0,2.0,16.0,5.0,31.3,0.13,0.4,2022,ParisSaintGermain
11,2021-10-03,13:00,Ligue 1,Journée 9,Dim,Extérieur,D,0,2,Rennes,1.4,0.8,66.0,28092.0,Marquinhos,4-2-3-1,Ruddy Buquet,Rapport de match,,19.3,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,,2022,ParisSaintGermain
12,2021-10-15,21:00,Ligue 1,Journée 10,Ven,Domicile,V,2,1,Angers,1.9,1.4,72.0,47646.0,Presnel Kimpembe,4-3-3,Bastien Dechepy,Rapport de match,,19.3,2.0,1.0,1.0,2.0,12.0,1.0,8.3,0.08,1.0,2022,ParisSaintGermain
